"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest"
5,7,3.95381346590151e-05,3.5,2.2,2.1,2.1,2.2,2.2,2.2,NA,NA,NA,0.2775,0.2407,0.1667,0.1611,0.0556,0.0551,0.0448,NA,NA,NA,0.000395381346590151,3,2,"Forest_disc_DIR200"
5,8,3.19846581219589e-06,3.4,2.2,2,2.2,2.8,2.1,2.2,1.6,NA,NA,0.2778,0.1671,0.1667,0.1667,0.0926,0.0557,0.0556,0.0181,NA,NA,0.0319846581219589,6,2,"Forest_disc_DIR200"
5,9,0.000281847731580386,2.2,3.4,1.9,3.4,2,2.1,2.2,1.7,2.1,NA,0.1687,0.1671,0.166,0.1651,0.1541,0.0573,0.0558,0.0535,0.0186,NA,2.81847731580386,6,2,"Forest_disc_DIR200"
5,10,0.0964362908275962,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,0.2764,0.1667,0.1659,0.1626,0.0921,0.0556,0.0555,0.0554,0.0528,0.0432,0.00964362908275962,1,2,"Forest_disc_DIR200"
1,2,0.000285644507530582,1,11.5,NA,NA,NA,NA,NA,NA,NA,NA,0.6817,0.3183,NA,NA,NA,NA,NA,NA,NA,NA,0.000285644507530582,2,3,"Forest_disc_NLD50"
1,3,4.2432913191072e-33,4.2,1,29.9,NA,NA,NA,NA,NA,NA,NA,0.8936,0.0858,0.0206,NA,NA,NA,NA,NA,NA,NA,4.2432913191072e-32,3,3,"Forest_disc_NLD50"
1,4,2.32472122875788e-32,4.2,1,29.7,30.3,NA,NA,NA,NA,NA,NA,0.8937,0.0857,0.0135,0.0071,NA,NA,NA,NA,NA,NA,2.32472122875788e-30,4,3,"Forest_disc_NLD50"
1,5,7.4650338466811e-33,4.1,1,30.1,10.7,5.8,NA,NA,NA,NA,NA,0.8988,0.0751,0.0202,0.0055,4e-04,NA,NA,NA,NA,NA,7.4650338466811e-30,5,3,"Forest_disc_NLD50"
1,6,1.27927011504124e-31,4.2,1,1.4,30,29.9,13.2,NA,NA,NA,NA,0.8836,0.0479,0.0475,0.019,0.0014,5e-04,NA,NA,NA,NA,1.27927011504124e-27,6,3,"Forest_disc_NLD50"
1,7,2.46927455409763e-32,3.9,1,6.7,30.4,28.9,30.4,30.2,NA,NA,NA,0.8684,0.0593,0.052,0.0148,0.005,4e-04,0,NA,NA,NA,2.46927455409763e-29,5,3,"Forest_disc_NLD50"
1,8,1.13997394590791e-10,4.2,1,4.2,30.5,28.7,6.1,26.4,30.3,NA,NA,0.8549,0.0874,0.0365,0.0142,0.006,6e-04,4e-04,0,NA,NA,1.13997394590791e-06,6,3,"Forest_disc_NLD50"
1,9,9.18510509676758e-13,4.1,2.6,1,30.4,8.3,16,15.9,16.6,12.6,NA,0.8029,0.1273,0.0366,0.0191,0.0099,0.0038,2e-04,1e-04,1e-04,NA,9.18510509676758e-06,9,3,"Forest_disc_NLD50"
1,10,7.33461842949735e-10,4.3,3.7,2.6,3.2,6.2,3.8,1,2.2,30,30.5,0.5894,0.0807,0.0668,0.0629,0.0524,0.0481,0.0427,0.0369,0.0127,0.0073,0.0733461842949735,10,3,"Forest_disc_NLD50"
2,2,1.74762280553132e-08,46.1,69.6,NA,NA,NA,NA,NA,NA,NA,NA,0.5114,0.4886,NA,NA,NA,NA,NA,NA,NA,NA,1.74762280553132e-08,2,3,"Forest_disc_NLD50"
2,3,1.61301799862876e-09,52.1,72.2,35.3,NA,NA,NA,NA,NA,NA,NA,0.5495,0.3534,0.0971,NA,NA,NA,NA,NA,NA,NA,1.61301799862876e-08,3,3,"Forest_disc_NLD50"
2,4,6.96852086281223e-09,72.3,48.2,59.7,40.5,NA,NA,NA,NA,NA,NA,0.3154,0.2639,0.2615,0.1593,NA,NA,NA,NA,NA,NA,6.96852086281224e-07,4,3,"Forest_disc_NLD50"
2,5,5.22530940474976e-09,57.2,72.7,41.9,53,44.2,NA,NA,NA,NA,NA,0.395,0.3047,0.2788,0.0215,0,NA,NA,NA,NA,NA,5.22530940474976e-07,4,3,"Forest_disc_NLD50"
2,6,1.29802932341994e-12,58,65.9,43.5,78.9,37,57.2,NA,NA,NA,NA,0.43,0.2009,0.1507,0.1125,0.1045,0.0014,NA,NA,NA,NA,1.29802932341994e-08,6,3,"Forest_disc_NLD50"
2,7,3.6281015133366e-09,57.6,41.2,73.9,73.5,44.1,71.3,67,NA,NA,NA,0.4459,0.2399,0.1343,0.1107,0.0338,0.0205,0.0148,NA,NA,NA,0.00036281015133366,7,3,"Forest_disc_NLD50"
2,8,7.7861783212345e-09,71.4,51.7,40.2,58.2,53,45.6,49,44.7,NA,NA,0.3745,0.1647,0.1429,0.1122,0.0778,0.0588,0.0358,0.0334,NA,NA,0.0077861783212345,8,3,"Forest_disc_NLD50"
2,9,2.33375472796163e-09,39.8,55.2,75.8,56.9,68.6,63.7,49.1,52.9,45.6,NA,0.1915,0.1677,0.1504,0.1327,0.1267,0.1167,0.1023,0.0092,0.0028,NA,0.0233375472796163,9,3,"Forest_disc_NLD50"
2,10,7.43846904030956e-32,59.8,39.8,79.4,73.9,63.4,80.4,56.3,76.1,41.5,67.2,0.5371,0.2346,0.0488,0.0398,0.037,0.0327,0.0296,0.0229,0.0099,0.0075,7.43846904030956e-24,10,3,"Forest_disc_NLD50"
3,2,1.08415602297033e-07,1.7,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.5203,0.4797,NA,NA,NA,NA,NA,NA,NA,NA,1.08415602297033e-07,2,3,"Forest_disc_NLD50"
3,3,9.2859869486462e-30,2.5,3.5,1.5,NA,NA,NA,NA,NA,NA,NA,0.3392,0.3311,0.3298,NA,NA,NA,NA,NA,NA,NA,9.2859869486462e-29,3,3,"Forest_disc_NLD50"
3,4,1.37625580220445e-08,1.5,3.5,2.2,2.9,NA,NA,NA,NA,NA,NA,0.3307,0.3274,0.1982,0.1438,NA,NA,NA,NA,NA,NA,1.37625580220445e-06,4,3,"Forest_disc_NLD50"
3,5,4.14291902246114e-10,3.5,1.5,2.4,2.4,1.5,NA,NA,NA,NA,NA,0.3485,0.3238,0.1699,0.1578,0,NA,NA,NA,NA,NA,4.14291902246114e-09,3,3,"Forest_disc_NLD50"
3,6,4.47290286124659e-08,1.6,3.4,2.4,3.3,3.5,3.3,NA,NA,NA,NA,0.4227,0.2153,0.1534,0.1397,0.0688,0,NA,NA,NA,NA,4.47290286124659e-05,5,3,"Forest_disc_NLD50"
3,7,9.4285187686514e-08,1.7,3.4,3.2,3.3,1.9,3.5,3.4,NA,NA,NA,0.4393,0.2134,0.1212,0.09,0.0783,0.0434,0.0144,NA,NA,NA,0.00094285187686514,6,3,"Forest_disc_NLD50"
3,8,5.48045211853487e-08,1.7,3.1,3.5,3.5,3.4,2.7,3.1,2,NA,NA,0.4721,0.1277,0.1122,0.0929,0.0837,0.0596,0.0464,0.0054,NA,NA,0.000548045211853487,6,3,"Forest_disc_NLD50"
3,9,8.72071964004416e-08,1.7,3.4,2.7,2.9,1.7,2.7,2.5,1.6,2.1,NA,0.4921,0.4443,0.0423,0.0069,0.0054,0.005,0.0028,0.0011,0,NA,0.000872071964004416,6,3,"Forest_disc_NLD50"
3,10,5.74911400358393e-08,1.7,3.4,2.8,3.5,1.5,1.6,2.9,3.2,2.2,2.8,0.4105,0.2789,0.1034,0.0994,0.0355,0.0306,0.0167,0.0119,0.0072,0.006,0.574911400358393,9,3,"Forest_disc_NLD50"
4,2,2.17463715076554e-07,4.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,0.5728,0.4271,NA,NA,NA,NA,NA,NA,NA,NA,2.17463715076554e-07,2,3,"Forest_disc_NLD50"
4,3,2.7117614605107e-27,3.1,4.4,1.7,NA,NA,NA,NA,NA,NA,NA,0.4162,0.3906,0.1932,NA,NA,NA,NA,NA,NA,NA,2.7117614605107e-26,3,3,"Forest_disc_NLD50"
4,4,4.62888342985962e-08,4.3,3,1.8,3,NA,NA,NA,NA,NA,NA,0.4665,0.2928,0.2407,0,NA,NA,NA,NA,NA,NA,4.62888342985962e-07,3,3,"Forest_disc_NLD50"
4,5,9.58942751866527e-09,4.5,1.8,3,3.8,3.5,NA,NA,NA,NA,NA,0.2736,0.2502,0.1994,0.1928,0.084,NA,NA,NA,NA,NA,9.58942751866527e-06,5,3,"Forest_disc_NLD50"
4,6,4.76882426163737e-09,4.5,3.6,3.2,1.9,1.6,2,NA,NA,NA,NA,0.3089,0.2502,0.1753,0.1619,0.0685,0.0352,NA,NA,NA,NA,4.76882426163737e-05,6,3,"Forest_disc_NLD50"
4,7,1.06666679825296e-08,4.5,1.8,3.9,2.9,3.2,3.4,3.7,NA,NA,NA,0.2628,0.2439,0.2091,0.1131,0.1004,0.0706,0,NA,NA,NA,0.000106666679825296,6,3,"Forest_disc_NLD50"
4,8,7.60270613001302e-08,4.2,2.5,1.5,1.6,2.5,2.9,1.7,1.5,NA,NA,0.5301,0.3366,0.0537,0.0405,0.0262,0.0067,0.0059,2e-04,NA,NA,0.000760270613001302,6,3,"Forest_disc_NLD50"
4,9,1.50299226856665e-08,4.3,2.6,3.1,1.6,1.5,2.3,2.3,3.3,1.5,NA,0.4633,0.2289,0.0927,0.0516,0.046,0.0423,0.0291,0.0238,0.0223,NA,0.00150299226856665,7,3,"Forest_disc_NLD50"
4,10,3.65226308865545e-08,4.3,2.6,1.5,1.9,1.5,2,1.5,2.8,1.6,1.5,0.5039,0.3338,0.0367,0.0353,0.0288,0.0206,0.0184,0.0176,0.0025,0.0024,0.00365226308865545,7,3,"Forest_disc_NLD50"
5,2,7.40790803857017e-08,2,3.1,NA,NA,NA,NA,NA,NA,NA,NA,0.5904,0.4096,NA,NA,NA,NA,NA,NA,NA,NA,7.40790803857017e-08,2,3,"Forest_disc_NLD50"
5,3,3.01156462483774e-23,2.4,3.5,1.5,NA,NA,NA,NA,NA,NA,NA,0.707,0.1504,0.1425,NA,NA,NA,NA,NA,NA,NA,3.01156462483774e-22,3,3,"Forest_disc_NLD50"
5,4,1.1076490952643e-08,2.4,1.7,3.3,3.4,NA,NA,NA,NA,NA,NA,0.6063,0.206,0.1205,0.0671,NA,NA,NA,NA,NA,NA,1.1076490952643e-06,4,3,"Forest_disc_NLD50"
5,5,9.24454518515795e-09,2.6,2.5,1.7,3.4,1.8,NA,NA,NA,NA,NA,0.3163,0.2807,0.2105,0.1372,0.0554,NA,NA,NA,NA,NA,9.24454518515795e-06,5,3,"Forest_disc_NLD50"
5,6,4.0797407246013e-08,2,3.2,2.3,2.7,1.7,3.1,NA,NA,NA,NA,0.3238,0.2406,0.1743,0.1663,0.0876,0.0074,NA,NA,NA,NA,0.00040797407246013,6,3,"Forest_disc_NLD50"
5,7,4.5485017087026e-08,3.2,2.2,2.1,3,2.1,2.1,1.6,NA,NA,NA,0.2286,0.1954,0.1711,0.1418,0.1059,0.084,0.0732,NA,NA,NA,4.5485017087026e-05,5,3,"Forest_disc_NLD50"
5,8,1.56526078027693e-08,2.3,2.8,3.4,2.3,1.8,2.6,1.6,1.6,NA,NA,0.2456,0.1943,0.137,0.1172,0.1098,0.0958,0.0914,0.0087,NA,NA,0.000156526078027693,6,3,"Forest_disc_NLD50"
5,9,4.00148406764346e-10,2.5,1.5,2.4,1.7,3.5,3.5,3.2,3.5,3.5,NA,0.5969,0.1111,0.0759,0.0713,0.0655,0.0435,0.0249,0.0084,0.0025,NA,4.00148406764346e-06,6,3,"Forest_disc_NLD50"
5,10,1.41254849386958e-10,2.5,1.5,2.3,3.5,1.9,3.5,2.6,3.5,3.2,3.5,0.568,0.1385,0.0628,0.0588,0.0559,0.0468,0.0402,0.0193,0.0091,5e-04,1.41254849386958e-05,7,3,"Forest_disc_NLD50"
1,2,0.000143801741783232,1,8.9,NA,NA,NA,NA,NA,NA,NA,NA,0.5975,0.4026,NA,NA,NA,NA,NA,NA,NA,NA,0.000143801741783232,2,3,"Forest_disc_NLD100"
1,3,4.38177862809887e-31,4.2,1,29.8,NA,NA,NA,NA,NA,NA,NA,0.8968,0.0899,0.0133,NA,NA,NA,NA,NA,NA,NA,4.38177862809887e-30,3,3,"Forest_disc_NLD100"
1,4,1.35218014250496e-09,3.6,8.9,30.4,1,NA,NA,NA,NA,NA,NA,0.938,0.0485,0.0121,0.0015,NA,NA,NA,NA,NA,NA,1.35218014250496e-07,4,3,"Forest_disc_NLD100"
1,5,1.69956620914493e-10,3.4,6.6,30.5,28.5,1,NA,NA,NA,NA,NA,0.8416,0.146,0.0118,3e-04,2e-04,NA,NA,NA,NA,NA,1.69956620914493e-07,5,3,"Forest_disc_NLD100"
1,6,1.53065116809452e-30,3.4,5.6,4.6,8.5,1,30.3,NA,NA,NA,NA,0.6891,0.1353,0.1349,0.015,0.0133,0.0124,NA,NA,NA,NA,1.53065116809452e-26,6,3,"Forest_disc_NLD100"
1,7,2.21987712854953e-13,3.4,5.5,1,30.4,11.6,30.1,1,NA,NA,NA,0.7493,0.217,0.0159,0.008,0.0055,0.0042,1e-04,NA,NA,NA,2.21987712854953e-09,6,3,"Forest_disc_NLD100"
1,8,3.49178909765002e-11,3.8,1,6.7,4.7,4.6,30.4,14.7,6.8,NA,NA,0.8464,0.0504,0.0478,0.0215,0.0178,0.012,0.004,1e-04,NA,NA,3.49178909765002e-05,8,3,"Forest_disc_NLD100"
1,9,1.09986495110361e-05,2.7,2.9,6,5.4,10,26.6,1,5.6,1.1,NA,0.5083,0.1978,0.1206,0.0954,0.0583,0.0163,0.0035,1e-04,0,NA,10.9986495110361,8,3,"Forest_disc_NLD100"
1,10,1.33107733169454e-12,3.5,5.5,2.9,3.4,6.5,6.4,30.5,1,25.7,26.5,0.64,0.1032,0.0769,0.073,0.0458,0.0442,0.0115,0.0044,0.001,1e-04,0.000133107733169454,10,3,"Forest_disc_NLD100"
2,2,1.71562334714097e-08,46,70.1,NA,NA,NA,NA,NA,NA,NA,NA,0.5317,0.4683,NA,NA,NA,NA,NA,NA,NA,NA,1.71562334714097e-08,2,3,"Forest_disc_NLD100"
2,3,1.40915602238078e-08,45.4,71.9,63.8,NA,NA,NA,NA,NA,NA,NA,0.4917,0.3167,0.1916,NA,NA,NA,NA,NA,NA,NA,1.40915602238078e-07,3,3,"Forest_disc_NLD100"
2,4,1.26064483295983e-32,60.4,53.5,37.5,77.4,NA,NA,NA,NA,NA,NA,0.3731,0.2804,0.1773,0.1692,NA,NA,NA,NA,NA,NA,1.26064483295983e-30,4,3,"Forest_disc_NLD100"
2,5,5.87891898361001e-32,59.7,40.2,68.4,82.9,67.1,NA,NA,NA,NA,NA,0.5019,0.273,0.0989,0.0696,0.0566,NA,NA,NA,NA,NA,5.87891898361001e-29,5,3,"Forest_disc_NLD100"
2,6,2.09502541212507e-09,40.8,55.2,63.8,76.4,59.2,47.2,NA,NA,NA,NA,0.2642,0.2127,0.187,0.174,0.1587,0.0033,NA,NA,NA,NA,2.09502541212507e-05,6,3,"Forest_disc_NLD100"
2,7,3.711192268423e-11,51.7,64.5,77,34.1,69.5,77.5,55.3,NA,NA,NA,0.4881,0.1589,0.1127,0.0978,0.0884,0.0297,0.0245,NA,NA,NA,3.711192268423e-06,7,3,"Forest_disc_NLD100"
2,8,9.81063907950262e-31,60.4,38.6,70.3,54.5,81.7,39.8,45.5,76.8,NA,NA,0.471,0.1402,0.1004,0.0872,0.0768,0.0623,0.0603,0.0016,NA,NA,9.81063907950262e-25,8,3,"Forest_disc_NLD100"
2,9,1.93189578790367e-09,50.4,72.3,49.8,54.3,41.8,34.1,27.9,46,49.2,NA,0.4339,0.361,0.0682,0.0539,0.0293,0.0289,0.0191,0.0057,0,NA,0.00193189578790367,8,3,"Forest_disc_NLD100"
2,10,6.39234726869474e-31,61.4,41.5,75.3,53.1,35.9,83.3,57.4,79.9,82.9,84.1,0.526,0.228,0.0578,0.0485,0.0453,0.0319,0.0318,0.0189,0.0088,0.0031,6.39234726869474e-23,10,3,"Forest_disc_NLD100"
3,2,1.09165842454151e-07,1.7,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.5115,0.4885,NA,NA,NA,NA,NA,NA,NA,NA,1.09165842454151e-07,2,3,"Forest_disc_NLD100"
3,3,4.31527069335785e-08,1.7,3.5,2.8,NA,NA,NA,NA,NA,NA,NA,0.4546,0.3388,0.2066,NA,NA,NA,NA,NA,NA,NA,4.31527069335785e-07,3,3,"Forest_disc_NLD100"
3,4,9.78038625281393e-09,1.6,3.5,2.7,3.2,NA,NA,NA,NA,NA,NA,0.3983,0.3146,0.287,0,NA,NA,NA,NA,NA,NA,9.78038625281393e-08,3,3,"Forest_disc_NLD100"
3,5,2.94887362580644e-31,3.5,2.5,1.5,1.5,2.6,NA,NA,NA,NA,NA,0.3309,0.1998,0.1655,0.1601,0.1436,NA,NA,NA,NA,NA,2.94887362580644e-29,4,3,"Forest_disc_NLD100"
3,6,1.77354185915205e-08,3.4,1.5,2,2.6,1.9,1.9,NA,NA,NA,NA,0.3851,0.2622,0.185,0.1559,0.0117,1e-04,NA,NA,NA,NA,1.77354185915205e-05,5,3,"Forest_disc_NLD100"
3,7,3.56019701608875e-08,1.6,3.5,2.6,3.4,3,3.5,1.6,NA,NA,NA,0.4264,0.1601,0.1439,0.125,0.0799,0.0572,0.0075,NA,NA,NA,3.56019701608875e-05,5,3,"Forest_disc_NLD100"
3,8,5.9909612233306e-08,1.6,2.1,3.3,3.2,3.4,3.5,3.5,3.1,NA,NA,0.3716,0.1555,0.129,0.116,0.0779,0.0737,0.0516,0.0247,NA,NA,0.0059909612233306,7,3,"Forest_disc_NLD100"
3,9,1.72116618443899e-08,3.4,2.3,1.5,1.7,1.5,2.8,1.6,2.7,1.8,NA,0.385,0.2026,0.1976,0.0633,0.0549,0.0434,0.0393,0.0115,0.0024,NA,0.0172116618443899,8,3,"Forest_disc_NLD100"
3,10,2.7117366185508e-08,1.5,1.8,3.5,2.7,3.5,2.7,3.4,2.9,3.4,3.2,0.2343,0.2105,0.1903,0.1309,0.0887,0.0442,0.0378,0.0329,0.0226,0.0079,0.0027117366185508,7,3,"Forest_disc_NLD100"
4,2,2.35757450692799e-07,4.2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,0.5742,0.4258,NA,NA,NA,NA,NA,NA,NA,NA,2.35757450692799e-07,2,3,"Forest_disc_NLD100"
4,3,1.74893278766417e-30,4.3,2.9,1.5,NA,NA,NA,NA,NA,NA,NA,0.4378,0.412,0.1502,NA,NA,NA,NA,NA,NA,NA,1.74893278766417e-29,3,3,"Forest_disc_NLD100"
4,4,1.52193964218667e-30,4.3,2.9,1.5,4.4,NA,NA,NA,NA,NA,NA,0.4327,0.4122,0.1491,0.006,NA,NA,NA,NA,NA,NA,1.52193964218667e-28,4,3,"Forest_disc_NLD100"
4,5,4.32647830434641e-08,4.3,1.9,3.3,4.5,3.3,NA,NA,NA,NA,NA,0.3078,0.2905,0.2319,0.1039,0.0659,NA,NA,NA,NA,NA,4.32647830434641e-06,4,3,"Forest_disc_NLD100"
4,6,7.5824769946379e-08,4.3,1.9,3.5,2.7,2.6,4.4,NA,NA,NA,NA,0.3797,0.2442,0.162,0.098,0.0675,0.0486,NA,NA,NA,NA,0.00075824769946379,6,3,"Forest_disc_NLD100"
4,7,1.71010932607012e-07,4.3,2.1,3.6,3.9,3.5,3,4.2,NA,NA,NA,0.4573,0.3882,0.089,0.0289,0.028,0.0083,2e-04,NA,NA,NA,0.0171010932607011,7,3,"Forest_disc_NLD100"
4,8,1.66136603094907e-08,4.3,2.4,3.1,1.5,3.2,2.9,1.5,4,NA,NA,0.4315,0.2172,0.0841,0.084,0.0722,0.0526,0.0311,0.0274,NA,NA,0.00166136603094907,7,3,"Forest_disc_NLD100"
4,9,2.58564073634575e-08,4.3,2.5,3.5,1.5,1.5,2.4,1.5,3.1,2.8,NA,0.4715,0.2695,0.0484,0.0425,0.0385,0.0369,0.0339,0.0309,0.0279,NA,0.00258564073634575,7,3,"Forest_disc_NLD100"
4,10,1.58068386424104e-08,4.3,2.7,1.5,1.5,1.5,2.7,2.7,3.2,2.4,1.8,0.4873,0.367,0.0906,0.0198,0.018,0.0085,0.0065,0.0015,6e-04,0,1.58068386424104e-05,5,3,"Forest_disc_NLD100"
5,2,6.90893043567859e-08,2.1,3.2,NA,NA,NA,NA,NA,NA,NA,NA,0.5904,0.4095,NA,NA,NA,NA,NA,NA,NA,NA,6.90893043567859e-08,2,3,"Forest_disc_NLD100"
5,3,3.67237485384913e-31,2.5,3.5,1.5,NA,NA,NA,NA,NA,NA,NA,0.6835,0.1908,0.1257,NA,NA,NA,NA,NA,NA,NA,3.67237485384913e-30,3,3,"Forest_disc_NLD100"
5,4,6.06578836743258e-08,2,3.2,2.8,2.4,NA,NA,NA,NA,NA,NA,0.5485,0.3254,0.1261,0,NA,NA,NA,NA,NA,NA,6.06578836743258e-07,3,3,"Forest_disc_NLD100"
5,5,1.23627964360093e-08,2.4,1.7,3.4,2.9,3.1,NA,NA,NA,NA,NA,0.4933,0.208,0.1926,0.106,0,NA,NA,NA,NA,NA,1.23627964360093e-06,4,3,"Forest_disc_NLD100"
5,6,2.64869858804958e-08,2.2,3,3.4,1.7,2.4,2.4,NA,NA,NA,NA,0.3356,0.2577,0.1466,0.1442,0.1159,0,NA,NA,NA,NA,2.64869858804958e-05,5,3,"Forest_disc_NLD100"
5,7,4.91379061107939e-08,2,3.3,3.3,2.9,2.4,2.6,2.1,NA,NA,NA,0.3748,0.1417,0.1255,0.1108,0.1026,0.089,0.0556,NA,NA,NA,0.000491379061107939,6,3,"Forest_disc_NLD100"
5,8,7.24419265065272e-10,2.5,3.5,1.7,1.5,3,2.5,1.5,2.2,NA,NA,0.6155,0.1707,0.119,0.04,0.0235,0.0142,0.0092,0.008,NA,NA,7.24419265065272e-06,6,3,"Forest_disc_NLD100"
5,9,1.24839910968252e-12,2.5,1.5,3.5,3.5,3.5,3.5,3.4,3.5,2.6,NA,0.6796,0.1273,0.06,0.0391,0.0353,0.0276,0.017,0.0114,0.0028,NA,1.24839910968252e-09,5,3,"Forest_disc_NLD100"
5,10,4.59573828995897e-08,2.1,1.9,3.4,2.9,3,2.9,3.2,2.7,3.3,2.2,0.312,0.2017,0.106,0.0757,0.0746,0.0726,0.0687,0.0464,0.027,0.0153,0.459573828995897,9,3,"Forest_disc_NLD100"
1,2,0.000183145878839742,1,9.7,NA,NA,NA,NA,NA,NA,NA,NA,0.6277,0.3723,NA,NA,NA,NA,NA,NA,NA,NA,0.000183145878839742,2,3,"Forest_disc_NLD200"
1,3,3.62388024524634e-31,4.2,1,29.9,NA,NA,NA,NA,NA,NA,NA,0.8924,0.0923,0.0154,NA,NA,NA,NA,NA,NA,NA,3.62388024524634e-30,3,3,"Forest_disc_NLD200"
1,4,2.28121213733847e-31,4.5,2.6,1,30,NA,NA,NA,NA,NA,NA,0.6812,0.2825,0.0212,0.0151,NA,NA,NA,NA,NA,NA,2.28121213733847e-29,4,3,"Forest_disc_NLD200"
1,5,4.24575742032206e-10,3.4,6.6,30.5,2.9,1,NA,NA,NA,NA,NA,0.8197,0.154,0.0141,0.0105,0.0017,NA,NA,NA,NA,NA,4.24575742032206e-07,5,3,"Forest_disc_NLD200"
1,6,6.99394579678158e-31,3.5,5.1,1.9,1,30,1,NA,NA,NA,NA,0.613,0.3019,0.0346,0.031,0.015,0.0046,NA,NA,NA,NA,6.99394579678158e-28,5,3,"Forest_disc_NLD200"
1,7,1.25370060408363e-31,3.6,5.4,1,30.4,12.1,1,9.9,NA,NA,NA,0.7871,0.1584,0.0295,0.014,0.0089,0.0011,0.001,NA,NA,NA,1.25370060408363e-27,6,3,"Forest_disc_NLD200"
1,8,6.36822586187701e-21,3.7,8.4,1,5.5,30.5,10,1,30.5,NA,NA,0.9017,0.0395,0.0177,0.0152,0.0139,0.0079,0.004,0,NA,NA,6.36822586187701e-17,6,3,"Forest_disc_NLD200"
1,9,2.66846928225264e-20,3.9,1,6.1,30.1,16.3,6.7,4.3,4.8,23.2,NA,0.8515,0.0661,0.0652,0.0147,0.0014,9e-04,2e-04,1e-04,0,NA,2.66846928225264e-14,8,3,"Forest_disc_NLD200"
1,10,2.08272977619791e-18,3.7,5,5,7.2,1,2.8,2.8,30.2,29.3,20.1,0.7331,0.0643,0.0515,0.0453,0.0412,0.0275,0.0223,0.0142,5e-04,0,2.08272977619791e-13,7,3,"Forest_disc_NLD200"
2,2,1.62886605078369e-08,46,69.9,NA,NA,NA,NA,NA,NA,NA,NA,0.5301,0.4699,NA,NA,NA,NA,NA,NA,NA,NA,1.62886605078369e-08,2,3,"Forest_disc_NLD200"
2,3,3.04748345319081e-11,52.5,73.3,32.8,NA,NA,NA,NA,NA,NA,NA,0.6111,0.3055,0.0834,NA,NA,NA,NA,NA,NA,NA,3.04748345319081e-10,3,3,"Forest_disc_NLD200"
2,4,3.33454860531894e-30,57,65.3,40,81.7,NA,NA,NA,NA,NA,NA,0.3528,0.3157,0.254,0.0774,NA,NA,NA,NA,NA,NA,3.33454860531894e-28,4,3,"Forest_disc_NLD200"
2,5,3.3624410441175e-09,56.5,41.2,74.8,65.3,49.2,NA,NA,NA,NA,NA,0.3577,0.2634,0.2066,0.1386,0.0338,NA,NA,NA,NA,NA,3.3624410441175e-06,5,3,"Forest_disc_NLD200"
2,6,1.52036461996625e-09,59.7,40,53.7,76.3,71.5,58.7,NA,NA,NA,NA,0.3031,0.2298,0.2254,0.1387,0.0945,0.0085,NA,NA,NA,NA,1.52036461996625e-05,6,3,"Forest_disc_NLD200"
2,7,4.4693407659875e-09,56.3,42,74,71.3,40.1,77.4,68,NA,NA,NA,0.4196,0.2262,0.1665,0.1337,0.0524,0.0017,0,NA,NA,NA,4.4693407659875e-05,6,3,"Forest_disc_NLD200"
2,8,7.32195044663756e-10,57.7,40.1,77.4,59,71,73.5,76,61.3,NA,NA,0.4435,0.2483,0.0963,0.0717,0.0474,0.0426,0.0277,0.0224,NA,NA,0.000732195044663756,8,3,"Forest_disc_NLD200"
2,9,2.42018147879468e-18,61.1,40.8,79.9,41.8,38.8,61.9,82.5,71.8,76.7,NA,0.5769,0.1991,0.066,0.0473,0.0407,0.0298,0.0289,0.011,3e-04,NA,2.42018147879468e-11,9,3,"Forest_disc_NLD200"
2,10,2.41351196842874e-31,60.3,40.8,36.4,47.3,42.9,72.5,77,82.2,79.9,60.8,0.5457,0.1246,0.0613,0.0575,0.0536,0.0535,0.0379,0.0354,0.0224,0.0082,2.41351196842874e-23,10,3,"Forest_disc_NLD200"
3,2,1.03370565581141e-07,3.3,1.7,NA,NA,NA,NA,NA,NA,NA,NA,0.5036,0.4964,NA,NA,NA,NA,NA,NA,NA,NA,1.03370565581141e-07,2,3,"Forest_disc_NLD200"
3,3,4.99531591284556e-08,1.7,3.4,2.7,NA,NA,NA,NA,NA,NA,NA,0.4431,0.407,0.1499,NA,NA,NA,NA,NA,NA,NA,4.99531591284556e-07,3,3,"Forest_disc_NLD200"
3,4,2.17018077182358e-09,3.5,1.5,2.5,2.4,NA,NA,NA,NA,NA,NA,0.3818,0.3123,0.202,0.1038,NA,NA,NA,NA,NA,NA,2.17018077182358e-07,4,3,"Forest_disc_NLD200"
3,5,2.54505877964987e-08,1.6,3.5,2.9,2.8,3.1,NA,NA,NA,NA,NA,0.4259,0.3147,0.2242,0.0352,0,NA,NA,NA,NA,NA,2.54505877964987e-06,4,3,"Forest_disc_NLD200"
3,6,4.88715946634257e-08,3.4,1.7,2.4,1.5,1.7,2.1,NA,NA,NA,NA,0.4601,0.2829,0.1125,0.0858,0.0349,0.0238,NA,NA,NA,NA,4.88715946634257e-05,5,3,"Forest_disc_NLD200"
